review,label,duration,spectral_centroid,zero_crossing_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
A frustrating experience. Avoid this at all costs.,Negative,4.632,3117.5848504290157,0.1747374928325688,-292.11203,52.699192,-6.8701406,14.343936,3.7441373,-6.517138,-0.18803741,-3.3647103,-6.7215686,0.8437907,-12.443306,11.310291,-8.309995
"I tried to like it, I really did, but it failed. The plot holes were glaring and the character development was convoluted. Save your money and watch something else.",Negative,11.808,2322.842017257056,0.11771368033619134,-290.11203,78.983536,-20.034595,17.258484,2.1594112,-12.138693,0.37131807,-7.0739493,-10.03343,0.6181683,-13.401226,9.889708,-10.911908
"I'm honestly still trying to process what I just saw. The visuals were flawless, but the story was amateurish. Your mileage may vary significantly.",Negative,11.808,2677.687819075415,0.1527897252933213,-282.1175,64.81526,-10.486414,16.407347,1.6996123,-9.6544695,-0.78912246,-6.5368476,-10.793623,0.053337675,-15.8035345,8.523209,-10.142717
I walked in with low expectations and they were met. It follows the standard formula without taking risks. You won't remember it a week from now.,Negative,10.68,2388.572037419637,0.12459748471806387,-305.77164,77.80318,-16.211094,14.063471,4.242401,-9.208288,0.92588174,-7.9045463,-8.449409,1.0107956,-14.237887,7.5710726,-11.9677725
"I oscillated between loving and hating this film. The acting was stunning, yet the dialogue felt horrible. Your mileage may vary significantly.",Negative,11.04,2230.8637103202923,0.11204829271235521,-285.64435,76.17188,-15.686008,21.353989,4.076541,-12.911895,0.9740778,-5.575137,-10.936021,-0.81995004,-14.365551,8.726064,-11.800721
This might be the worst thing I've seen all year. The plot holes were glaring and the cinematography was pretentious. Avoid this at all costs.,Negative,10.128,2705.9325914721876,0.14875308388157896,-286.18207,68.90854,-10.28238,14.472366,1.1079307,-10.952044,0.88764864,-3.9829724,-11.480305,1.0078044,-14.7173605,8.762857,-10.798958
"It was... fine. If you're bored, give it a shot.",Neutral,4.272,2244.049991216384,0.10835956934079602,-321.93604,71.19782,-9.129438,18.377369,-0.9888023,-8.914901,4.30184,-2.064229,-6.973988,1.0286441,-10.625792,10.817406,-8.461537
I am confused about how I feel. It left me puzzled.,Neutral,4.512,2089.8328010943324,0.0968040610259434,-301.61572,79.96676,-19.29271,22.920752,3.9414656,-7.49812,5.068949,-4.091271,-8.540501,-1.9331075,-11.333398,8.390963,-11.643364
I have mixed feelings about this one. 6/10 at best.,Neutral,4.44,3112.67732137263,0.1834021755382775,-289.88208,62.70897,-10.893326,14.026002,8.28174,-7.8354354,-2.0151472,-2.311848,-7.139557,4.2359357,-11.584885,10.495768,-12.000465
It doesn't leave a lasting impression. It was... fine.,Neutral,4.608,2236.968201663127,0.10457994311635944,-314.58057,72.745964,-12.625238,24.706501,6.967338,-6.2236485,2.7980137,-5.414283,-10.053549,2.37602,-9.81459,9.732491,-11.600008
"The screenplay was okay, but forgettable. It was... fine.",Neutral,5.352,2223.8120006867407,0.11030098356573705,-310.0882,73.470245,-13.619061,17.667902,5.343619,-11.402266,3.1483228,-4.264103,-8.031161,1.2923745,-12.023905,9.567044,-10.01184
"Ideally, this should have been great, but something was off. It tries to be deep, but comes off as wooden despite the intense music. I respect the ambition, even if it didn't fully land.",Neutral,14.904,2365.581589001632,0.1154760707260372,-298.7048,69.59327,-11.613818,25.01724,6.947007,-9.325051,-0.56148034,-5.271455,-10.560184,-1.9982076,-11.635879,8.170101,-10.809593
"Ideally, this should have been great, but something was off. It tries to be deep, but comes off as amateurish despite the flawless music. I think I need to watch it again to decide.",Neutral,13.632,2527.3279446188817,0.12757720947265624,-287.15567,67.90631,-13.214574,22.647274,3.2564538,-10.110573,-0.85190165,-5.051225,-11.239874,-2.313846,-11.847417,9.032402,-10.242595
"I oscillated between loving and hating this film. The acting was compelling, yet the final act felt disjointed. I respect the ambition, even if it didn't fully land.",Neutral,13.368,2331.1890396602344,0.11648428154904306,-292.7275,70.980225,-16.15915,24.816198,6.6231456,-8.929784,-0.31598514,-5.234684,-8.912132,-0.17131138,-12.172232,8.090613,-10.979502
"It’s a weird mix of brilliance and stupidity. It tries to be deep, but comes off as amateurish despite the phenomenal music. Your mileage may vary significantly.",Neutral,12.48,2418.9105694622326,0.11904813486561433,-285.69504,69.978615,-14.707694,28.120161,6.569659,-12.270496,-1.5033884,-7.3191752,-11.839466,-3.0691798,-15.522466,8.480274,-11.713172
"I oscillated between loving and hating this film. The visuals were vibrant, but the story was amateurish. I respect the ambition, even if it didn't fully land.",Neutral,13.248,2413.6935807151385,0.12506358646503216,-292.80774,67.49781,-14.875534,22.260166,4.9073544,-7.8354664,-1.0747539,-7.504787,-10.12801,-0.3995652,-13.260489,7.9567204,-10.786672
